"Game is disabled.","Le jeu est clos."
"<strong>%1$s</strong> make you an emperor. Conquer outer space and master other players on <strong>%1$s</strong>.","<strong>%1$s</strong> fait de vous un empereur. Parcourez l'espace sidéral et conquérez les territoires d'autres joueurs sur <strong>%1$s</strong>."
"Register now!","S'enregistrer maintenant!"
"Player count: ","Nombre de joueurs : "
"Latest player: ","Dernier inscrit : "
"Online players: ","Joueurs en ligne : "
"User data:","Votre compte :"
"Username:","Nom d'empire :"
"Email:","Email :"
"Confirm email:","Confirmez l'email :"
"Password:","Mot de passe :"
"Confirm password:","Confirmez le mot de passe :"
"Planet:","Planète :"
"Planet name:","Nom de votre planète :"
"Register!","S'enregistrer!"
"Welcome to the Wootook! installer","Bienvenue sur l'installation de Wootook!"
"This page will guide you through the installation proces of Wootook! the MMO game engine platform.","Cette page vous guidera à travers le processus d'installation de Wootook! la plateforme de jeux web MMO."
"Feel free to ask for help at any time at <a href=""%s"">wootook.org</a>.","Feel free to ask for help at any time at <a href=""%s"">wootook.org</a>."
"Next step","Etape suivante"
"Welcome","Bienvenue"
"System","Système"
"Database","Base de données"
"Universe","Univers"
"Admin profile","Profil administrateur"
"Summary","Finalisation"
"Database Config","Configuration de votre base de données"
"Database host address:","Adresse du serveur :"
"Database host port:","Port du serveur :"
"Database account name:","Compte utilisateur:"
"Database account password:","Mot de passe :"
"Database name:","Nom de la base de données :"
"Table name prefix:","Préfixe des noms des tables :"
"Test connection","Tester la connexion"
"Connection succeeded.","Connexion réussie."
"Connection error: ","Erreur de connexion : "
"Admin Profile Config","Configuration du compte administrateur"
"Root admin account name:","Nom d'utilisateur :"
"Root admin email:","Email du compte administrateur :"
"Root admin account password:","Mot de passe :"
"Root admin account password confirm:","Confirmez le mot de passe :"
"System Config","Configuration système"
"Base URL path for the game:","URL de base Base du jeu :"
"Game timezone:","Fuseau horaire du jeu :"
"Africa","Afrique"
"America","Amerique"
"Atlantic","Atlantique"
"Asia","Asie"
"Europe","Europe"
"Pacific","Pacifique"
"Universe Config","configuration de l'univers"
"Galaxies count:","Nombre de galaxies :"
"Systems count:","Nombre de systèmes solaires :"
"Positions in each system:","Nombre de planètes dans chaque système solaire :"
"Allow spy drone attacks","Autoriser la attaques de sondes d'espionnage"
"Activate large numbers handling","Activer la gestion des très grands nombres"
"'BC Math' extension is unavailable. This option will have no effect until the extension isn't active.","L'extension PHP 'BC Math' est indisponible sur votre machine. Cette option n'aura aucun effet tant que l'extension ne sera pas activée."
"Wootook! was successfully installed.","Wootook! a été correctmeent installé."
"You can now play at %s and tell your friends to come and play.","Vous pouvez maintenant jouer sur %s et dire à vos amis de venir."
"Feel free to ask for help at any time at <a href="%s">wootook.org</a>.","Feel free to ask for help at any time at <a href="%s">wootook.org</a>."
"Play!","Jouer!"
"Shipyard is required","Le chantier spatial est requis"
"In order to build ships you will need to build a shipyard building.","Pour construire des vaisseaux, vous devrez construire un chantier spatial."
"Research lab is required","Le laboratoire de recherche est requis"
"In order to do technological researches, you will need to build a research lab building.","Pour effectuer des recherches de nouvelles technologies, vous devrez construire un laboratoire de recherches."
"Unnamed","Sans nom"
"Name","Nom"
"Galaxy","Galaxie"
"System","Système"
"Planet","Planète"
"Debris","Débris"
"Moon","Lune"
"Reset","Réinitialiser"
"Save","Sauvegarder"
"The shortcut has been saved.","Le raccourci a été enregistré."
"The shortcut has been deleted","Le raccourdi a été supprimé"
"The shortcut has been updated.","Le raccourci a été mis à jour."
"Success","Succès"
"Colony","Colonie"
"Moon","Lune"
"Class %s","Classe %s"
"Build","Construire"
"Game data successfully initialized.","Game data successfully initialized."
"Passwords does not match.","Les mots de passe ne correpsondent pas."
"Both e-mails does not match.","Les emails ne correpsondent pas."
"Could not create user.","Impossible de créer le compte d'utilisateur."
"Could not set to vacation mode.","Impossible d'activer le mode vacances."
"You currently can't get to vacation mode, please check your flying fleets, and building queues.","You currently can't get to vacation mode, please check your flying fleets, and building queues."
"Password was not correct.","Le mot de passe est incorrect."
"Planet has been successfully destroyed.","LA planète a été détruite."
"Open the chat.","Ouvrir le chat."
"No root view declared.","Aucune vue racine n'est déclarée."
"Query failed: SQLSTATE %s: %s.","La requête a échoué : SQLSTATE %s: %s."
"Undefined method %s::%s.","La méthode %s::%s est inconnue."
"Ajax failure.","Erreur AJAX."
"Invalid security key.","code de sécurité invalide."
"Form data error.","données de formulaire erronnées."
